-2.2e0 -1.8e0 5.5737982e-3 5.5737982e-3
-2.155556e0 -1.8e0 6.7644278e-3 6.7644278e-3
-2.111112e0 -1.8e0 8.1767725e-3 8.1767725e-3
-2.0666681e0 -1.8e0 9.8450739e-3 9.8450739e-3
-2.0222241e0 -1.8e0 1.18070755e-2 1.18070755e-2
-1.97778e0 -1.8e0 1.41044046e-2 1.41044046e-2
-1.933336e0 -1.8e0 1.67820941e-2 1.67820941e-2
-1.888892e0 -1.8e0 1.9889209e-2 1.9889209e-2
-1.8444481e0 -1.8e0 2.3478442e-2 2.3478442e-2
-1.8000041e0 -1.8e0 2.760727e-2 2.760727e-2
-1.75556e0 -1.8e0 3.2333148e-2 3.2333148e-2
-1.711116e0 -1.8e0 3.7719086e-2 3.7719086e-2
-1.666672e0 -1.8e0 4.3829077e-2 4.3829077e-2
-1.6222281e0 -1.8e0 5.0727008e-2 5.0727008e-2
-1.5777841e0 -1.8e0 5.848039e-2 5.848039e-2
-1.53334e0 -1.8e0 6.7152475e-2 6.7152475e-2
-1.488896e0 -1.8e0 7.680553e-2 7.680553e-2
-1.444452e0 -1.8e0 8.750072e-2 8.750072e-2
-1.4000081e0 -1.8e0 9.9291962e-2 9.9291962e-2
-1.3555641e0 -1.8e0 1.12230176e-1 1.12230176e-1
-1.31112e0 -1.8e0 1.26351288e-1 1.26351288e-1
-1.266676e0 -1.8e0 1.41688504e-1 1.41688504e-1
-1.222232e0 -1.8e0 1.58261078e-1 1.58261078e-1
-1.177788e0 -1.8e0 1.7607626e-1 1.7607626e-1
-1.133344e0 -1.8e0 1.9511856e-1 1.9511856e-1
-1.0889e0 -1.8e0 2.1537158e-1 2.1537158e-1
-1.044456e0 -1.8e0 2.3679465e-1 2.3679465e-1
-1.000012e0 -1.8e0 2.5932019e-1 2.5932019e-1
-9.55568e-1 -1.8e0 2.8286664e-1 2.8286664e-1
-9.11124e-1 -1.8e0 3.0733539e-1 3.0733539e-1
-8.6668e-1 -1.8e0 3.326012e-1 3.326012e-1
-8.22236e-1 -1.8e0 3.5853113e-1 3.5853113e-1
-7.77792e-1 -1.8e0 3.8495956e-1 3.8495956e-1
-7.33348e-1 -1.8e0 4.1170001e-1 4.1170001e-1
-6.88904e-1 -1.8e0 4.3856323e-1 4.3856323e-1
-6.4446e-1 -1.8e0 4.653328e-1 4.653328e-1
-6.00016e-1 -1.8e0 4.9179666e-1 4.9179666e-1
-5.55572e-1 -1.8e0 5.177189e-1 5.177189e-1
-5.11128e-1 -1.8e0 5.4285672e-1 5.4285672e-1
-4.66684e-1 -1.8e0 5.6696677e-1 5.6696677e-1
-4.2224e-1 -1.8e0 5.8981311e-1 5.8981311e-1
-3.77796e-1 -1.8e0 6.1115982e-1 6.1115982e-1
-3.33352e-1 -1.8e0 6.30788e-1 6.30788e-1
-2.88908e-1 -1.8e0 6.4847818e-1 6.4847818e-1
